0	37
1	169
10	30
100	146
1000	3889
10000	3523
10001	1446
10002	114
10003	4781
10004	2999
10005	4905
10006	87
10007	1782
10008	3606
10009	2514
1001	739
10010	4781
10011	1982
10012	4006
10013	1863
10014	4313
10015	2018
10016	4781
10017	986
10018	87
10019	4781
1002	4366
10020	366
10021	733
10022	3994
10023	2523
10024	2888
10025	3989
10026	1555
10027	1642
10028	1968
10029	87
1003	941
10030	5103
10031	242
10032	1938
10033	4354
10034	3353
10035	4253
10036	274
10037	2523
10038	2128
10039	3094
1004	1608
10040	3628
10041	2752
10042	1846
10043	4281
10044	4261
10045	1661
10046	4313
10047	1814
10048	5094
10049	4969
1005	1005
10050	1809
10051	2035
10052	3951
10053	3249
10054	4313
10055	1989
10056	2573
10057	1680
10058	87
10059	1520
1006	934
10060	2820
10061	4089
10062	87
10063	3622
10064	1943
10065	5015
10066	87
10067	4129
10068	220
10069	1233
1007	1388
10070	2904
10071	4734
10072	1988
10073	1233
10074	3858
10075	1099
10076	2498
10077	2490
10078	4262
10079	2119
1008	918
10080	1950
10081	2498
10082	3376
10083	2498
10084	1959
10085	2492
10086	1897
10087	1445
10088	2492
10089	1814
1009	999
10090	4051
10091	1589
10092	484
10093	2523
10094	1783
10095	4089
10096	5197
10097	5243
10098	3591
10099	3925
101	447
1010	918
10100	4073
10101	913
10102	913
10103	1099
10104	1135
10105	1989
10106	4501
10107	288
10108	2773
10109	3999
1011	934
10110	4689
10111	32
10112	93
10113	87
10114	3400
10115	1381
10116	3822
10117	2171
10118	3400
10119	2504
1012	4306
10120	576
10121	1754
10122	1432
10123	4337
10124	4465
10125	1401
10126	53
10127	1419
10128	1404
10129	4456
1013	274
10130	2559
10131	1449
10132	4262
10133	300
10134	4730
10135	4262
10136	5249
10137	4679
10138	3376
10139	1359
1014	2655
10140	87
10141	1438
10142	3441
10143	228
10144	3438
10145	87
10146	4262
10147	3879
10148	448
10149	1128
1015	1099
10150	87
10151	2516
10152	1550
10153	3037
10154	5036
10155	282
10156	4402
10157	1732
10158	32
10159	5
1016	3579
10160	1685
10161	1378
10162	956
10163	1243
10164	2932
10165	5263
10166	1918
10167	199
10168	4295
10169	3847
1017	3438
10170	4430
10171	87
10172	1219
10173	4260
10174	4167
10175	4011
10176	1287
10177	2287
